Brand Name	Product Name	Category	Pack Size (Net Wt.)	MRP (₹)	Expected Selling Price (₹)	Shelf Life	USP / Description
SukhDevi Alchemy Spices	Mix Masala Premium Blend	Premium Blended Masala	75g	315	240	12 months	Our flagship, rich, and highly aromatic blend crafted with rare and expensive spices like Stone Flower, Long Pepper, and Mace.
SukhDevi Alchemy Spices	Bharwa Masala Premium	Premium Blended Masala	75g	188	143	12 months	A fragrant, coarsely ground blend dominated by roasted cumin and fennel; ideal for stuffed karela, bhindi, and baingan.
SukhDevi Alchemy Spices	Chaat Masala Premium	Premium Blended Masala	75g	218	158	12 months	A lip-smacking, tangy-spicy blend for fruits, salads, and street-style snacks.
SukhDevi Alchemy Spices	Chole Masala Premium	Premium Blended Masala	75g	240	180	12 months	A balanced, dark, tangy blend with Bedgi chilli and anardana for authentic Punjabi chole flavor.
SukhDevi Alchemy Spices	Sukhdevi Combo Pack	Combo Pack Masala	200g (4 x 50g)	640	640	12 months	All four signature 50g masalas in one pack: Bharwa, Chaat, Chole, and Mix Masala Premium Blend.
SukhDevi Alchemy Spices	Raw Black Cardamom	Raw Organic Spices	50g	140	140	12 months	Bold and smoky black cardamom pods for gravies and biryani.
SukhDevi Alchemy Spices	Raw Green Cardamom	Raw Organic Spices	50g	260	260	12 months	Premium aromatic green cardamom for desserts, tea, and spice blends.
SukhDevi Alchemy Spices	Raw Clove	Raw Organic Spices	50g	90	90	12 months	Strong and fragrant cloves ideal for tempering, pulao, and chai.
SukhDevi Alchemy Spices	Raw Cumin	Raw Organic Spices	50g	50	50	12 months	Clean and earthy cumin seeds for daily tadka and roasting blends.
SukhDevi Alchemy Spices	Raw Fennel	Raw Organic Spices	50g	25	25	12 months	Sweet Lucknow fennel with bright aroma for curries, pickles, and mouth fresheners.
SukhDevi Alchemy Spices	Raw Cuntur Chilli	Raw Organic Spices	50g	25	25	12 months	Classic Guntur red chilli for vibrant color and medium heat.
SukhDevi Alchemy Spices	Raw Black Pepper	Raw Organic Spices	50g	80	80	12 months	Sharp and woody black peppercorns suitable for seasoning and fresh grinding.
SukhDevi Alchemy Spices	Raw Star Anise	Raw Organic Spices	50g	80	80	12 months	Licorice-forward star anise pods for biryani, broths, and slow-cooked gravies.
SukhDevi Alchemy Spices	Raw Tej Patta	Raw Organic Spices	50g	40	40	12 months	Aromatic bay leaves to deepen flavor in dals, rice, and gravies.
SukhDevi Alchemy Spices	Raw Turmeric	Raw Organic Spices	50g	35	35	12 months	Natural turmeric fingers for grinding fresh haldi powder and immunity blends.
